Chromosome_8_767a-187-3p,ID=Hetgly05887.t1;Parent=Hetgly05887;Alias=mikado.Scaffold_3G5985.1::Chromosome_3:21579014-21581218,2,21,1761,1777,0.95
Chromosome_8_767a-187-5p,ID=Hetgly02045.t1;Parent=Hetgly02045;Alias=mikado.Scaffold_8G3747.1::Chromosome_5:11606104-11614758,5,22,2619,2639,0.95
Chromosome_8_767a-187-3p,ID=Hetgly09456.t1;Parent=Hetgly09456;Alias=mikado.Scaffold_1G983.1::Chromosome_2:3569466-3574090,5,22,2303,2325,0.946
Chromosome_8_767a-187-3p,ID=Hetgly10721.t1;Parent=Hetgly10721;Alias=mikado.Scaffold_1G2993.1::Chromosome_2:9872691-9876009,6,21,2479,2504,0.94
Chromosome_8_767a-187-3p,ID=Hetgly04490.t1;Parent=Hetgly04490;Alias=mikado.Scaffold_3G3275.1::Chromosome_3:12158861-12220844,9,22,44347,44370,0.94
Chromosome_8_767a-187-3p,ID=Hetgly00405.t1;Parent=Hetgly00405;Alias=mikado.Scaffold_8G873.1::Chromosome_5:2644732-2715306,9,20,55598,55618,0.94
Chromosome_8_767a-187-3p,ID=Hetgly02485.t1;Parent=Hetgly02485;Alias=mikado.Scaffold_8G4480.1::Chromosome_5:14109295-14112779,6,22,2105,2129,0.94
Chromosome_8_767a-187-3p,ID=Hetgly14487.t1;Parent=Hetgly14487;Alias=mikado.Scaffold_6G559.1::Chromosome_6:2318266-2330231,3,22,8643,8671,0.94
Chromosome_8_767a-187-3p,ID=Hetgly18590.t1;Parent=Hetgly18590;Alias=mikado.Scaffold_7G3825.1::Chromosome_7:12149496-12191907,5,21,39327,39347,0.938
Chromosome_8_767a-187-3p,ID=Hetgly07978.t1;Parent=Hetgly07978;Alias=mikado.Scaffold_5G4411.1::Chromosome_1:17373965-17412283,14,22,7045,7065,0.936
Chromosome_8_767a-187-3p,ID=Hetgly10774.t1;Parent=Hetgly10774;Alias=mikado.Scaffold_1G3133.1::Chromosome_2:10354448-10414367,1,22,45551,45573,0.936
Chromosome_8_767a-187-3p,ID=Hetgly10786.t1;Parent=Hetgly10786;Alias=mikado.Scaffold_1G3118.1::Chromosome_2:10399463-10403137,1,22,536,558,0.936
Chromosome_8_767a-187-3p,ID=Hetgly13618.t1;Parent=Hetgly13618;Alias=mikado.Scaffold_4G3494.1::Chromosome_4:11801261-11851266,14,22,42814,42834,0.936
Chromosome_8_767a-187-3p,ID=Hetgly02601.t1;Parent=Hetgly02601;Alias=mikado.Scaffold_8G4757.1::Chromosome_5:15132407-15164029,3,21,13497,13517,0.936
Chromosome_8_767a-187-3p,ID=Hetgly07877.t1;Parent=Hetgly07877;Alias=mikado.Scaffold_5G4229.1::Chromosome_1:16563786-16568527,1,22,4293,4316,0.934
Chromosome_8_767a-187-3p,ID=Hetgly02975.t1;Parent=Hetgly02975;Alias=mikado.Scaffold_3G333.1::Chromosome_3:1235734-1252780,9,20,6529,6549,0.934
Chromosome_8_767a-187-3p,ID=Hetgly05069.t1;Parent=Hetgly05069;Alias=mikado.Scaffold_3G4389.1::Chromosome_3:15112630-15158773,14,22,10419,10439,0.934
Chromosome_8_767a-187-3p,ID=Hetgly02697.t1;Parent=Hetgly02697;Alias=mikado.Scaffold_8G5001.1::Chromosome_5:15822404-15893702,5,22,8902,8927,0.934
Chromosome_8_767a-187-3p,ID=Hetgly14404.t1;Parent=Hetgly14404;Alias=mikado.Scaffold_6G445.1::Chromosome_6:1617402-1623993,7,22,4315,4335,0.934
Chromosome_8_767a-187-3p,ID=Hetgly20749.t1;Parent=Hetgly20749;Alias=mikado.Scaffold_2G85.1::Chromosome_8:646109-647487,14,22,1303,1323,0.934
Chromosome_8_767a-187-3p,ID=Hetgly13523.t1;Parent=Hetgly13523;Alias=mikado.Scaffold_4G3223.1::Chromosome_4:11223010-11243614,14,22,9032,9052,0.93
Chromosome_8_767a-187-3p,ID=Hetgly02766.t1;Parent=Hetgly02766;Alias=mikado.Scaffold_8G5104.1::Chromosome_5:16214040-16215650,2,21,498,516,0.93
Chromosome_8_767a-187-3p,ID=Hetgly14753.t1;Parent=Hetgly14753;Alias=mikado.Scaffold_6G1358.1::Chromosome_6:4522553-4579892,2,20,43209,43229,0.93
Chromosome_8_767a-187-3p,ID=Hetgly14765.t1;Parent=Hetgly14765;Alias=mikado.Scaffold_6G1356.1::Chromosome_6:4562019-4581007,2,20,3743,3763,0.93
Chromosome_8_767a-187-3p,ID=Hetgly08320.t1;Parent=Hetgly08320;Alias=mikado.Scaffold_5G5175.1::Chromosome_1:19836761-19893736,9,21,18599,18619,0.928
Chromosome_8_767a-187-3p,ID=Hetgly11667.t1;Parent=Hetgly11667;Alias=mikado.Scaffold_1G5995.1::Chromosome_2:21777555-21783976,14,22,2563,2583,0.928
Chromosome_8_767a-187-3p,ID=Hetgly03206.t1;Parent=Hetgly03206;Alias=mikado.Scaffold_3G890.1::Chromosome_3:3384765-3385594,3,21,467,485,0.928
Chromosome_8_767a-187-3p,ID=Hetgly02645.t1;Parent=Hetgly02645;Alias=mikado.Scaffold_8G4910.1::Chromosome_5:15555182-15574454,9,20,14190,14210,0.928
Chromosome_8_767a-187-3p,ID=Hetgly14208.t1;Parent=Hetgly14208;Alias=mikado.Scaffold_6G3.1::Chromosome_6:1-51215,1,22,18263,18290,0.928
Chromosome_8_767a-187-3p,ID=Hetgly08148.t1;Parent=Hetgly08148;Alias=mikado.Scaffold_5G4781.1::Chromosome_1:18577237-18578492,1,21,721,739,0.926
Chromosome_8_767a-187-3p,ID=Hetgly05456.t1;Parent=Hetgly05456;Alias=mikado.Scaffold_3G5226.1::Chromosome_3:18098967-18103377,14,22,3411,3431,0.926
Chromosome_8_767a-187-3p,ID=Hetgly02764.t1;Parent=Hetgly02764;Alias=mikado.Scaffold_8G5101.1::Chromosome_5:16201767-16204317,2,21,246,271,0.926
Chromosome_8_767a-187-3p,ID=Hetgly20717.t1;Parent=Hetgly20717;Alias=mikado.Scaffold_2G66.1::Chromosome_8:391798-400328,5,22,6067,6087,0.926
Chromosome_8_767a-187-3p,ID=Hetgly21017.t1;Parent=Hetgly21017;Alias=mikado.Scaffold_2G822.1::Chromosome_8:3811906-3859658,5,21,31185,31205,0.926
Chromosome_8_767a-187-3p,ID=Hetgly07948.t1;Parent=Hetgly07948;Alias=mikado.Scaffold_5G4349.1::Chromosome_1:17169212-17235898,4,22,46598,46620,0.924
Chromosome_8_767a-187-3p,ID=Hetgly19368.t1;Parent=Hetgly19368;Alias=mikado.Scaffold_9G1138.1::Chromosome_9:3640404-3701676,14,22,25512,25532,0.924
Chromosome_8_767a-187-3p,ID=Hetgly20868.t1;Parent=Hetgly20868;Alias=mikado.Scaffold_2G422.1::Chromosome_8:1586861-1592792,14,22,2276,2296,0.922
Chromosome_8_767a-187-5p,ID=Hetgly06896.t1;Parent=Hetgly06896;Alias=mikado.Scaffold_5G2621.1::Chromosome_1:11550713-11553761,9,21,573,593,0.92
