ID=Hetgly08457.t1;Parent=Hetgly08457;Alias=mikado.Scaffold_5G5399.1::Chromosome_1:20691882-20693526,Chromosome_8_100a-206
ID=Hetgly08718.t1;Parent=Hetgly08718;Alias=mikado.Scaffold_5G5875.1::Chromosome_1:22591756-22597554,Chromosome_8_100a-206
ID=Hetgly10721.t1;Parent=Hetgly10721;Alias=mikado.Scaffold_1G2993.1::Chromosome_2:9872691-9876009,Chromosome_8_100a-206
ID=Hetgly10862.t1;Parent=Hetgly10862;Alias=mikado.Scaffold_1G3398.1::Chromosome_2:11250978-11254307,Chromosome_8_100a-206
ID=Hetgly11264.t1;Parent=Hetgly11264;Alias=mikado.Scaffold_1G4610.1::Chromosome_2:16164850-16166861,Chromosome_8_100a-206
ID=Hetgly11668.t1;Parent=Hetgly11668;Alias=mikado.Scaffold_1G5996.1::Chromosome_2:21784483-21797428,Chromosome_8_100a-206
ID=Hetgly02909.t1;Parent=Hetgly02909;Alias=mikado.Scaffold_3G147.1::Chromosome_3:532983-571827,Chromosome_8_100a-206
ID=Hetgly04375.t1;Parent=Hetgly04375;Alias=mikado.Scaffold_3G3207.1::Chromosome_3:11625858-11699575,Chromosome_8_100a-206
ID=Hetgly04640.t1;Parent=Hetgly04640;Alias=mikado.Scaffold_3G3673.1::Chromosome_3:12921931-12975458,Chromosome_8_100a-206
ID=Hetgly05001.t1;Parent=Hetgly05001;Alias=mikado.Scaffold_3G4296.1::Chromosome_3:14667703-14736890,Chromosome_8_100a-206
ID=Hetgly05517.t1;Parent=Hetgly05517;Alias=mikado.Scaffold_3G5331.1::Chromosome_3:18579535-18586317,Chromosome_8_100a-206
ID=Hetgly05522.t1;Parent=Hetgly05522;Alias=mikado.Scaffold_3G5333.1::Chromosome_3:18618978-18623902,Chromosome_8_100a-206
ID=Hetgly13463.t1;Parent=Hetgly13463;Alias=mikado.Scaffold_4G3187.1::Chromosome_4:10939417-10945173,Chromosome_8_100a-206
ID=Hetgly13904.t1;Parent=Hetgly13904;Alias=mikado.Scaffold_4G4373.1::Chromosome_4:15057401-15061250,Chromosome_8_100a-206
ID=Hetgly14190.t1;Parent=Hetgly14190;Alias=mikado.Scaffold_4G5128.1::Chromosome_4:17839235-17874194,Chromosome_8_100a-206
